Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
1,26/03/2026,11:39,Incident,Lenteur système,Le système est très lent au démarrage,Closed,Critical,"[""PC-LAB-002"", ""PC-BIB-001"", ""PH-DIR-001""]"
2,21/02/2026,14:05,Incident,Réseau inaccessible,Pas de connexion au réseau local,New,High,"[""MN-COMPTA-001"", ""RT-RES-001"", ""SW-RES-001""]"
3,01/06/2026,12:19,Incident,Son absent,Pas de sortie audio sur le poste,New,Critical,"[""PC-BIB-002"", ""PC-ADM-005""]"
4,11/04/2026,09:16,Incident,Virus détecté,Alerte antivirus signalée par l'utilisateur,Resolved,Low,"[""PC-ADM-005"", ""PH-ADM-001"", ""PC-BIB-001""]"
5,30/04/2026,14:13,Incident,Réseau inaccessible,Pas de connexion au réseau local,New,Medium,"[""PC-ADM-005"", ""PC-DIR-002"", ""PR-COMPTA-001""]"
6,02/06/2026,16:13,Incident,Moniteur rayé,Écran physiquement endommagé,Resolved,Medium,"[""MN-LAB-001"", ""SW-RES-001"", ""MN-FORM-001""]"
7,02/06/2026,09:19,Demande,Remplacement disque,"Disque dur trop petit, remplacement demandé",Closed,High,"[""PC-LAB-002""]"
8,20/05/2026,17:27,Incident,Wifi coupé,Déconnexion WiFi répétée,In Progress,High,"[""PC-COMPTA-001"", ""PC-BIB-001""]"
9,01/04/2026,13:57,Incident,Écran qui clignote,L'affichage scintille en permanence,Resolved,Low,"[""PC-LAB-004"", ""PH-MOB-003"", ""PC-BIB-002""]"
10,09/03/2026,08:09,Demande,VPN accès,Demande d'accès VPN pour télétravail,In Progress,Critical,"[""PC-BIB-001"", ""PC-LAB-003""]"
11,03/06/2026,12:34,Incident,Téléphone muet,Pas de son lors des appels,New,Medium,"[""PC-BIB-001"", ""PR-ADM-001"", ""PR-BIB-001""]"
12,31/03/2026,08:15,Demande,Extension RAM,Ajout de mémoire RAM demandé,Closed,Low,"[""PH-MOB-001""]"
13,02/03/2026,10:33,Incident,Téléphone muet,Pas de son lors des appels,Resolved,Critical,"[""PR-ADM-001""]"
14,14/04/2026,16:47,Demande,Nouveau périphérique,Demande d'attribution d'une souris ergonomique,In Progress,High,"[""PH-DIR-001""]"
15,13/05/2026,16:44,Demande,Nouveau compte,Création d'un compte utilisateur demandée,In Progress,Low,"[""AP-RES-001"", ""PC-COMPTA-001""]"
16,18/04/2026,11:12,Incident,Port USB cassé,Port USB ne reconnaît plus les périphériques,Pending,High,"[""RT-RES-001"", ""PC-ADM-003"", ""PC-DIR-001""]"
17,04/04/2026,13:03,Demande,Accès réseau,Demande de droits d'accès au réseau partagé,Pending,Low,"[""PH-LAB-001""]"
18,19/04/2026,11:39,Demande,Mise à jour OS,Mise à jour Windows 11 demandée,New,Low,"[""PC-LAB-003"", ""PC-COMPTA-001"", ""PR-LAB-001""]"
19,10/03/2026,16:51,Demande,VPN accès,Demande d'accès VPN pour télétravail,Resolved,High,"[""PC-LAB-003"", ""AP-RES-002"", ""PH-ADM-002""]"
20,13/03/2026,09:02,Demande,Formation logiciel,Demande de formation sur un nouvel outil,In Progress,Medium,"[""PC-ADM-003""]"
21,20/04/2026,14:37,Incident,Câble réseau abimé,"Câble réseau endommagé, connexion instable",Pending,Low,"[""SW-RES-001""]"
22,14/03/2026,16:56,Incident,BSOD,Écran bleu répété depuis ce matin,Pending,High,"[""PC-DIR-001"", ""PR-COMPTA-001""]"
